"Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","Metropolitan Statistical Area/Consolidated Metropolitan Statistical Area","Total Population 2000"
"State College, PA MSA","State College, PA MSA","2868497568","11182795","380","00",,,"8050","8050",135758
"Steubenville--Weirton, OH--WV MSA","Steubenville--Weirton, OH--WV MSA","1505501106","26442231","380","00",,,"8080","8080",132008
"Stockton--Lodi, CA MSA","Stockton--Lodi, CA MSA","3624124428","69844755","380","00",,,"8120","8120",563598
"Sumter, SC MSA","Sumter, SC MSA","1723398538","43062241","380","00",,,"8140","8140",104646
"Syracuse, NY MSA","Syracuse, NY MSA","7983990752","1451482926","380","00",,,"8160","8160",732117
"Tallahassee, FL MSA","Tallahassee, FL MSA","3063624434","122757229","380","00",,,"8240","8240",284539
"Tampa--St. Petersburg--Clearwater, FL MSA","Tampa--St. Petersburg--Clearwater, FL MSA","6614783275","2012279616","380","00",,,"8280","8280",2395997
"Terre Haute, IN MSA","Terre Haute, IN MSA","2636089740","33659763","380","00",,,"8320","8320",149192
"Texarkana, TX--Texarkana, AR MSA","Texarkana, TX--Texarkana, AR MSA","3915665664","125366823","380","00",,,"8360","8360",129749
"Toledo, OH MSA","Toledo, OH MSA","3534213818","671272388","380","00",,,"8400","8400",618203
"Topeka, KS MSA","Topeka, KS MSA","1424015086","16835524","380","00",,,"8440","8440",169871
"Tucson, AZ MSA","Tucson, AZ MSA","23792316898","6644112","380","00",,,"8520","8520",843746
"Tulsa, OK MSA","Tulsa, OK MSA","12987483341","384634183","380","00",,,"8560","8560",803235
"Tuscaloosa, AL MSA","Tuscaloosa, AL MSA","3430104517","69553838","380","00",,,"8600","8600",164875
"Tyler, TX MSA","Tyler, TX MSA","2404501444","54556496","380","00",,,"8640","8640",174706
"Utica--Rome, NY MSA","Utica--Rome, NY MSA","6796006011","237018960","380","00",,,"8680","8680",299896
"Victoria, TX MSA","Victoria, TX MSA","2285676788","16124140","380","00",,,"8750","8750",84088
"Visalia--Tulare--Porterville, CA MSA","Visalia--Tulare--Porterville, CA MSA","12494018673","39164606","380","00",,,"8780","8780",368021
"Waco, TX MSA","Waco, TX MSA","2698463849","47509238","380","00",,,"8800","8800",213517
"Washington--Baltimore, DC--MD--VA--WV CMSA","Washington--Baltimore, DC--MD--VA--WV CMSA","24802901901","2370308089","380","00",,,"8872","8872",7608070
"Waterloo--Cedar Falls, IA MSA","Waterloo--Cedar Falls, IA MSA","1468819419","12421488","380","00",,,"8920","8920",128012
"Wausau, WI MSA","Wausau, WI MSA","4001432497","80754105","380","00",,,"8940","8940",125834
"West Palm Beach--Boca Raton, FL MSA","West Palm Beach--Boca Raton, FL MSA","5112913099","1067653854","380","00",,,"8960","8960",1131184
"Wheeling, WV--OH MSA","Wheeling, WV--OH MSA","2461837688","30840860","380","00",,,"9000","9000",153172
"Wichita, KS MSA","Wichita, KS MSA","7683352455","77126796","380","00",,,"9040","9040",545220
"Wichita Falls, TX MSA","Wichita Falls, TX MSA","3981748413","55513453","380","00",,,"9080","9080",140518
"Williamsport, PA MSA","Williamsport, PA MSA","3198255608","23088835","380","00",,,"9140","9140",120044
"Wilmington, NC MSA","Wilmington, NC MSA","2729142175","839670650","380","00",,,"9200","9200",233450
"Yakima, WA MSA","Yakima, WA MSA","11127183346","39827088","380","00",,,"9260","9260",222581
"York, PA MSA","York, PA MSA","2342526119","15021372","380","00",,,"9280","9280",381751
"Youngstown--Warren, OH MSA","Youngstown--Warren, OH MSA","4051210886","75378115","380","00",,,"9320","9320",594746
"Yuba City, CA MSA","Yuba City, CA MSA","3194069121","49411163","380","00",,,"9340","9340",139149
"Yuma, AZ MSA","Yuma, AZ MSA","14281424443","12613327","380","00",,,"9360","9360",160026
